Sku,Delivery_time,Product_id,category,level,url,brand,img,Variant,source_url,desc1,um,source,href,region_name,title,price1,Saller,price,desc
,,, Electrical Switches',3,http://buildkar.com/shop/electrical/switches/anchor-rider-slim-bell-push-240v/,,,1,,,,,,,Anchor Rider Slim Bell push -240V,80.00,,54.96,
,,, Electrical Switches',3,http://buildkar.com/shop/electrical/switches/anchor-rider-slim-2-way-switch-240v-16a/,,,1,,,,,,,Anchor Rider slim 2 way switch -240V- 16A,111.00,,76.26,
,,, Electrical Switches',3,http://buildkar.com/shop/electrical/switches/anchor-rider-slim-bell-push-with-indicator-240v/,,,1,,,,,,,Anchor Rider Slim Bell push with indicator -240V,90.00,,61.83,
,,, Electrical Switches',3,http://buildkar.com/shop/electrical/switches/anchor-rider-slim-2-way-switch-240v/,,,1,,,,,,,Anchor Rider Slim 2 way switch -240V,79.00,,54.27,
,,, Electrical Sockets',3,http://buildkar.com/shop/electrical/sockets/anchor-rider-uni-socket-for-3pin-2pin/,,,1,,,,,,,Anchor Rider Uni socket for 3pin & 2pin,99.00,,68.01,
,,, Electrical Support Module',3,http://buildkar.com/shop/electrical/support-module/anchor-rider-t-v-socket-outlet/,,,1,,,,,,,Anchor Rider T.V Socket outlet,86.00,,59.08,
,,, Electrical Sockets',3,http://buildkar.com/shop/electrical/sockets/anchor-rider-twin-socket-20-10a-heavy-duty-power-socket/,,,1,,,,,,,Anchor Rider Twin socket 20 & 10A Heavy duty (Power Socket),173.00,,118.85,
,,, Electrical Sockets',3,http://buildkar.com/shop/electrical/sockets/anchor-rider-uro-2-pin-socket/,,,1,,,,,,,Anchor Rider Uro 2 pin socket,80.00,,54.96,
,,, Electrical Switch Plates',3,http://buildkar.com/shop/electrical/switch-plates/anchor-rider-front-plates-with-base-frame-6-module/,,,1,,,,,,,Anchor Rider Front plates with base Frame 6 Module,140.00,,96.18,
,,, Electrical Support Module',3,http://buildkar.com/shop/electrical/support-module/anchor-roma-rj45-computer-jack-with-shutter/,,,1,,,,,,,Anchor Roma RJ45 computer jack with shutter,200.00,,137.40,
,,, Electrical Switch Plates',3,http://buildkar.com/shop/electrical/switch-plates/anchor-roma-power-unit-with-20a-sp-mcb-with-isi-plug-top-with-box/,,,1,,,,,,,Anchor Roma Power unit with 20A SP MCB with ISI plug top (with box),695.00,,477.47,
,,, Electrical Support Module',3,http://buildkar.com/shop/electrical/support-module/anchor-roma-only-frame-for-cat-5-with-shutter-2/,,,1,,,,,,,Anchor Roma only frame for cat 5 with shutter,129.00,,88.62,
,,, Electrical Switch Plates',3,http://buildkar.com/shop/electrical/switch-plates/anchor-roma-power-unit-with-20a-sp-mcb-with-isi-plug-top-without-box/,,,1,,,,,,,Anchor Roma Power unit with 20A SP MCB with ISI plug top (without box),595.00,,408.77,
,,, Electrical Support Module',3,http://buildkar.com/shop/electrical/support-module/anchor-roma-only-frame-for-cat-5-with-shutter/,,,1,,,,,,,Anchor Roma only frame for cat 5 with shutter,129.00,,88.62,
,,, Electrical Switches',3,http://buildkar.com/shop/electrical/switches/anchor-rider-mega-2-way-switch-240v-16a/,,,1,,,,,,,Anchor Rider Mega 2 way switch  -240V- 16A,132.00,,90.68,
,,, Electrical Switches',3,http://buildkar.com/shop/electrical/switches/anchor-rider-mega-bell-push-240v/,,,1,,,,,,,Anchor Rider Mega Bell Push -240V,99.00,,68.01,
,,, Electrical Support Module',3,http://buildkar.com/shop/electrical/support-module/anchor-rider-rj-11-telephone-jack-double-without-shutter/,,,1,,,,,,,Anchor Rider RJ 11 telephone jack double without shutter,105.00,,72.14,
,,, Electrical Switches',3,http://buildkar.com/shop/electrical/switches/anchor-rider-mega-bell-push-with-indicator-240v/,,,1,,,,,,,Anchor Rider Mega Bell Push with indicator -240V,119.00,,81.75,
,,, Electrical Support Module',3,http://buildkar.com/shop/electrical/support-module/anchor-rider-rj-11-telephone-jack-single-with-shutter/,,,1,,,,,,,Anchor Rider RJ 11 telephone jack single with shutter,92.00,,63.20,
,,, Electrical Support Module',3,http://buildkar.com/shop/electrical/support-module/anchor-rider-neon-indicator-red/,,,1,,,,,,,Anchor Rider Neon indicator Red,73.00,,50.15,
,,, Electrical Switch Plates',3,http://buildkar.com/shop/electrical/switch-plates/anchor-rider-single-mounting-plate-1-module/,,,1,,,,,,,Anchor Rider Single Mounting Plate 1 Module,41.00,,28.17,
,,, Electrical Switch Plates',3,http://buildkar.com/shop/electrical/switch-plates/anchor-rider-single-mounting-plate-2-module/,,,1,,,,,,,Anchor Rider single mounting plate 2 Module,41.00,,28.17,
,,, Electrical Sockets',3,http://buildkar.com/shop/electrical/sockets/anchor-rider-multi-socket-for-3pin-2pin/,,,1,,,,,,,Anchor Rider Multi socket for 3pin & 2pin,113.00,,77.63,
,,, Electrical Switches',3,http://buildkar.com/shop/electrical/switches/anchor-rider-mega-2-way-switch-240v/,,,1,,,,,,,Anchor Rider Mega 2 way switch -240V,103.00,,70.76,
,,, Electrical Switch Plates',3,http://buildkar.com/shop/electrical/switch-plates/anchor-rider-single-mounting-plate-8-module/,,,1,,,,,,,Anchor Rider single mounting plate 8 Module,118.00,,81.07,
,,, Electrical Support Module',3,http://buildkar.com/shop/electrical/support-module/anchor-rider-rj-45-modem-jack-for-computer-with-shutter/,,,1,,,,,,,Anchor Rider RJ 45 modem jack for computer with shutter,154.00,,105.80,
,,, Electrical Switch Plates',3,http://buildkar.com/shop/electrical/switch-plates/anchor-rider-single-mounting-plate-12-module/,,,1,,,,,,,Anchor Rider single mounting plate 12 Module,153.00,,105.11,
,,, Electrical Switch Plates',3,http://buildkar.com/shop/electrical/switch-plates/anchor-rider-single-mounting-plate-4-module/,,,1,,,,,,,Anchor Rider single mounting plate 4 Module,61.00,,41.91,
,,, Electrical Switch Plates',3,http://buildkar.com/shop/electrical/switch-plates/anchor-rider-single-mounting-plate-3-module/,,,1,,,,,,,Anchor Rider single mounting plate 3 Module,55.00,,37.79,
,,, Electrical Switch Plates',3,http://buildkar.com/shop/electrical/switch-plates/anchor-rider-single-mounting-plate-6-module/,,,1,,,,,,,Anchor Rider single mounting plate 6 Module,96.00,,65.95,
,,, Electrical Switch Plates',3,http://buildkar.com/shop/electrical/switch-plates/anchor-roma-uno-mini-modular-c-type-10a-dp-c-mcb/,,,1,,,,,,,Anchor Roma UNO Mini Modular ‘C’ Type 10A DP ‘C’ MCB,380.00,,261.06,
